pitch_type,game_date,release_speed,release_pos_x,release_pos_z,player_name,batter,pitcher,events,description,spin_dir,spin_rate_deprecated,break_angle_deprecated,break_length_deprecated,zone,des,game_type,stand,p_throws,home_team,away_team,type,hit_location,bb_type,balls,strikes,game_year,pfx_x,pfx_z,plate_x,plate_z,on_3b,on_2b,on_1b,outs_when_up,inning,inning_topbot,hc_x,hc_y,tfs_deprecated,tfs_zulu_deprecated,umpire,sv_id,vx0,vy0,vz0,ax,ay,az,sz_top,sz_bot,hit_distance_sc,launch_speed,launch_angle,effective_speed,release_spin_rate,release_extension,game_pk,fielder_2,fielder_3,fielder_4,fielder_5,fielder_6,fielder_7,fielder_8,fielder_9,release_pos_y,estimated_ba_using_speedangle,estimated_woba_using_speedangle,woba_value,woba_denom,babip_value,iso_value,launch_speed_angle,at_bat_number,pitch_number,pitch_name,home_score,away_score,bat_score,fld_score,post_away_score,post_home_score,post_bat_score,post_fld_score,if_fielding_alignment,of_fielding_alignment,spin_axis,delta_home_win_exp,delta_run_exp,bat_speed,swing_length,estimated_slg_using_speedangle,delta_pitcher_run_exp,hyper_speed,home_score_diff,bat_score_diff,home_win_exp,bat_win_exp,age_pit_legacy,age_bat_legacy,age_pit,age_bat,n_thruorder_pitcher,n_priorpa_thisgame_player_at_bat,pitcher_days_since_prev_game,batter_days_since_prev_game,pitcher_days_until_next_game,batter_days_until_next_game,api_break_z_with_gravity,api_break_x_arm,api_break_x_batter_in,arm_angle
KC,2024-09-23,78.3,-1.7,5.18,"Nola, Aaron",542194,605400,single,hit_into_play,,,,,9,"Christian Bethancourt singles on a soft bunt ground ball to pitcher Aaron Nola, deflected by third baseman Alec Bohm. Nico Hoerner to 3rd. Pete Crow-Armstrong to 2nd.",R,R,R,PHI,CHC,X,5.0,ground_ball,0,0,2024,1.32,-0.9,0.3,2.11,,663538.0,691718.0,0,7,Top,115.91,187.8,,,,,1.8797910163549347,-113.88886077494064,2.0238510587585123,10.987251703752182,23.491606327461895,-40.57251796385618,3.5,1.72,2.0,31.6,-41.0,78.4,2607,6.7,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.81,0.3,0.298,0.9,1.0,1.0,0.0,1.0,56,1,Knuckle Curve,6,1,1,6,1,6,1,6,Standard,Standard,63,-0.053,0.0,18.8,2.1,0.303,0.0,88.0,5,-5,0.927,0.073,31,32,31,33,3,2,5,3,6,6,4.66,-1.32,-1.32,22.4
KC,2024-09-23,78.2,-1.67,5.17,"Nola, Aaron",691718,605400,walk,ball,,,,,13,Pete Crow-Armstrong walks.,R,L,R,PHI,CHC,B,,,3,2,2024,1.38,-0.83,-1.09,2.38,,663538.0,,0,7,Top,,,,,,,-1.2977479929821698,-113.7859193841012,2.4632001961742156,12.139037574486265,22.491388361758123,-40.09619197064886,3.42,1.59,,,,78.3,2600,6.5,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.97,,0.689131,0.7,1.0,0.0,0.0,,55,7,Knuckle Curve,6,1,1,6,1,6,1,6,Standard,Standard,60,-0.024,0.263,,,,-0.263,,5,-5,0.951,0.049,31,22,31,22,3,2,5,1,6,1,4.59,-1.38,1.38,19.3
KC,2024-09-23,78.7,-1.69,5.08,"Nola, Aaron",691718,605400,,blocked_ball,,,,,14,Pete Crow-Armstrong walks.,R,L,R,PHI,CHC,B,,,2,2,2024,1.26,-1.09,0.42,-0.05,,663538.0,,0,7,Top,,,,,,,2.250692266537241,-114.52547260603998,-2.2088798506436205,10.509864494469886,23.863662418256876,-41.45842486358761,3.52,1.69,,,,79.1,2522,6.9,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.65,,,,,,,,55,6,Knuckle Curve,6,1,1,6,1,6,1,6,Standard,Standard,58,0.0,0.063,,,,-0.063,,5,-5,0.951,0.049,31,22,31,22,3,2,5,1,6,1,4.81,-1.26,1.26,22.7
FF,2024-09-23,93.2,-1.68,5.14,"Nola, Aaron",691718,605400,,foul,,,,,11,Pete Crow-Armstrong walks.,R,L,R,PHI,CHC,S,,,2,2,2024,-0.95,1.2,-0.03,3.62,,663538.0,,0,7,Top,,,,,,,6.410305629606729,-135.55204049744574,-0.6920214312882623,-13.233277967817097,33.32289003147577,-17.63343927397489,3.31,1.52,122.0,74.8,79.0,93.8,2291,6.9,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.55,,,,,,,,55,5,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,227,0.0,0.0,69.1,6.6,,0.0,88.0,5,-5,0.951,0.049,31,22,31,22,3,2,5,1,6,1,1.46,0.95,-0.95,18.9
CH,2024-09-23,85.6,-1.82,5.07,"Nola, Aaron",691718,605400,,ball,,,,,13,Pete Crow-Armstrong walks.,R,L,R,PHI,CHC,B,,,1,2,2024,-1.16,0.46,-1.21,2.42,,663538.0,,0,7,Top,,,,,,,3.8302838073387866,-124.65268031745772,-0.8987167767492449,-12.838156278426649,26.218354104036703,-27.41945134408343,3.52,1.66,,,,86.6,1595,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.53,,,,,,,,55,4,Changeup,6,1,1,6,1,6,1,6,Standard,Standard,245,0.0,0.053,,,,-0.053,,5,-5,0.951,0.049,31,22,31,22,3,2,5,1,6,1,2.66,1.16,-1.16,19.2
FF,2024-09-23,92.5,-1.62,5.17,"Nola, Aaron",691718,605400,,swinging_strike,,,,,3,Pete Crow-Armstrong walks.,R,L,R,PHI,CHC,S,,,1,1,2024,-1.19,0.98,0.47,2.83,,663538.0,,0,7,Top,,,,,,,8.054307197693538,-134.38451539484424,-2.241007750326799,-16.243205849914567,32.2626201722095,-20.083853304134625,3.31,1.52,,,,93.3,2254,7.1,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.4,,,,,,,,55,3,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,232,0.0,-0.072,73.7,6.9,,0.072,,5,-5,0.951,0.049,31,22,31,22,3,2,5,1,6,1,1.72,1.19,-1.19,20.1
FF,2024-09-23,92.5,-1.59,5.13,"Nola, Aaron",691718,605400,,ball,,,,,12,Pete Crow-Armstrong walks.,R,L,R,PHI,CHC,B,,,0,1,2024,-1.18,1.2,1.41,2.68,,663538.0,,0,7,Top,,,,,,,10.323522595291882,-134.26374819232478,-3.013091548915,-16.587250210352163,31.935322413842517,-17.219788246505544,3.57,1.69,,,,92.9,2246,6.9,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.58,,,,,,,,55,2,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,223,0.0,0.036,,,,-0.036,,5,-5,0.951,0.049,31,22,31,22,3,2,5,1,6,1,1.5,1.18,-1.18,20.4
FF,2024-09-23,92.0,-1.71,5.16,"Nola, Aaron",691718,605400,,called_strike,,,,,2,Pete Crow-Armstrong walks.,R,L,R,PHI,CHC,S,,,0,0,2024,-1.1,1.17,-0.22,3.36,,663538.0,,0,7,Top,,,,,,,6.247141437243271,-133.76542716719922,-1.1935345977728409,-14.623378628371508,32.22997988135123,-18.224973171726944,3.86,1.54,,,,92.6,2286,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.53,,,,,,,,55,1,4-Seam Fastball,6,1,1,6,1,6,1,6,Standard,Standard,229,0.0,-0.035,,,,0.035,,5,-5,0.951,0.049,31,22,31,22,3,2,5,1,6,1,1.56,1.1,-1.1,20.2
SI,2024-09-23,90.8,-1.74,4.99,"Nola, Aaron",663538,605400,double,hit_into_play,,,,,13,Nico Hoerner doubles (33) on a ground ball to left fielder Brandon Marsh. Isaac Paredes scores.,R,R,R,PHI,CHC,X,7.0,ground_ball,0,0,2024,-1.48,0.67,-1.02,2.19,,670623.0,,0,7,Top,30.37,109.45,,,,,5.051183654683545,-132.291170183824,-2.6036008270205637,-18.502607613894185,26.384712809446736,-23.97154368210369,3.29,1.58,111.0,87.8,7.0,92.4,2191,7.0,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.48,0.511,0.48,1.25,1.0,1.0,1.0,4.0,54,1,Sinker,6,0,0,6,1,6,1,6,Standard,Standard,229,-0.023,0.726,65.7,7.2,0.591,-0.726,88.0,6,-6,0.974,0.026,31,27,31,27,3,2,5,2,6,1,2.08,1.48,1.48,18.3
FF,2024-09-23,91.6,-1.74,5.04,"Nola, Aaron",670623,605400,double,hit_into_play,,,,,4,Isaac Paredes doubles (25) on a line drive to left fielder Brandon Marsh.,R,R,R,PHI,CHC,X,7.0,line_drive,2,2,2024,-0.83,1.27,-0.44,2.23,,,,0,7,Top,39.39,97.44,,,,,5.127405752237116,-133.21746701890723,-3.959702002965388,-10.977591224124325,30.90102753328867,-16.49037371045635,3.2,1.56,277.0,96.4,18.0,92.6,2154,7.1,745527,592663,547180,681082,664761,607208,669016,679032,592206,53.41,0.44,0.478,1.25,1.0,1.0,1.0,4.0,53,7,4-Seam Fastball,6,0,0,6,0,6,0,6,Standard,Standard,229,-0.012,0.721,68.9,7.5,0.664,-0.721,96.4,6,-6,0.986,0.014,31,25,31,25,3,2,5,1,6,1,1.47,0.83,0.83,19.0
